image 1/4478 C:\Users\gbuln\Downloads\0112_crawling\01거0503-df0809ed-9240-11ed-b7ae-ac74b1bf3c26_26.jpg: 480x640 1 headlight, Done. (0.189s)
image 2/4478 C:\Users\gbuln\Downloads\0112_crawling\01거0503-fd6241aa-9240-11ed-9d76-ac74b1bf3c26_26.jpg: 480x640 1 headlight, Done. (0.152s)
image 3/4478 C:\Users\gbuln\Downloads\0112_crawling\01나0914-702b6589-9246-11ed-8e44-ac74b1bf3c26_26.jpg: 480x640 1 headlight, Done. (0.154s)
image 4/4478 C:\Users\gbuln\Downloads\0112_crawling\01나0914-780463c9-9246-11ed-ba5a-ac74b1bf3c26_26.jpg: 480x640 1 headlight, Done. (0.174s)
image 5/4478 C:\Users\gbuln\Downloads\0112_crawling\01너0680-0e9c4f95-9243-11ed-a486-ac74b1bf3c26_26.jpg: 480x640 1 headlight, Done. (0.138s)
image 6/4478 C:\Users\gbuln\Downloads\0112_crawling\01너0680-21bedc83-9241-11ed-8063-ac74b1bf3c26_26.jpg: 480x640 1 headlight, Done. (0.178s)
image 7/4478 C:\Users\gbuln\Downloads\0112_crawling\01너0680-61e5b15a-9242-11ed-9206-ac74b1bf3c26_26.jpg: 480x640 1 headlight, Done. (0.165s)
image 8/4478 C:\Users\gbuln\Downloads\0112_crawling\01너0680-d3038668-9241-11ed-83fd-ac74b1bf3c26_26.jpg: 480x640 1 headlight, Done. (0.148s)
image 9/4478 C:\Users\gbuln\Downloads\0112_crawling\01너0680-e86501de-9240-11ed-9bc2-ac74b1bf3c26_26.jpg: 480x640 1 headlight, Done. (0.162s)
image 10/4478 C:\Users\gbuln\Downloads\0112_crawling\01두5241-92c710f8-9245-11ed-89c3-ac74b1bf3c26_26.jpg: 480x640 1 headlight, Done. (0.163s)
image 11/4478 C:\Users\gbuln\Downloads\0112_crawling\01두5241-a1ac83da-9245-11ed-a954-ac74b1bf3c26_26.jpg: 480x640 1 headlight, Done. (0.155s)
image 12/4478 C:\Users\gbuln\Downloads\0112_crawling\01마2553-23930de5-9242-11ed-98b4-ac74b1bf3c26_26.jpg: 480x640 1 headlight, Done. (0.161s)
image 13/4478 C:\Users\gbuln\Downloads\0112_crawling\01머1571-0d323ea6-9246-11ed-9fa7-ac74b1bf3c26_26.jpg: 480x640 1 headlight, Done. (0.168s)
image 14/4478 C:\Users\gbuln\Downloads\0112_crawling\01머1571-f9c4e560-9245-11ed-b5f3-ac74b1bf3c26_26.jpg: 480x640 1 headlight, Done. (0.160s)
image 15/4478 C:\Users\gbuln\Downloads\0112_crawling\01무5418-a8b87409-9242-11ed-b49c-ac74b1bf3c26_26.jpg: 480x640 1 headlight, Done. (0.150s)
image 16/4478 C:\Users\gbuln\Downloads\0112_crawling\01무5418-de8adb8f-9240-11ed-bb20-ac74b1bf3c26_26.jpg: 480x640 2 headlights, Done. (0.140s)
image 17/4478 C:\Users\gbuln\Downloads\0112_crawling\01무5418-e47c1843-9240-11ed-8cdf-ac74b1bf3c26_26.jpg: 480x640 2 headlights, Done. (0.147s)
image 18/4478 C:\Users\gbuln\Downloads\0112_crawling\01보2246-789da6f5-9246-11ed-9d33-ac74b1bf3c26_26.jpg: 480x640 1 headlight, Done. (0.144s)
image 19/4478 C:\Users\gbuln\Downloads\0112_crawling\01보2246-7d1a1ccd-9246-11ed-9e5d-ac74b1bf3c26_26.jpg: 480x640 1 headlight, Done. (0.141s)
image 20/4478 C:\Users\gbuln\Downloads\0112_crawling\01부4314-a2bd60ea-9242-11ed-a8d1-ac74b1bf3c26_26.jpg: 480x640 1 headlight, Done. (0.180s)
image 21/4478 C:\Users\gbuln\Downloads\0112_crawling\01오4516-44024033-9246-11ed-9072-ac74b1bf3c26_26.jpg: 480x640 1 headlight, Done. (0.159s)
image 22/4478 C:\Users\gbuln\Downloads\0112_crawling\01오4516-44738c0e-9246-11ed-ac2a-ac74b1bf3c26_26.jpg: 480x640 2 headlights, Done. (0.165s)
image 23/4478 C:\Users\gbuln\Downloads\0112_crawling\01우6694-ca6c9f5d-9245-11ed-a587-ac74b1bf3c26_26.jpg: 480x640 1 headlight, Done. (0.157s)
image 24/4478 C:\Users\gbuln\Downloads\0112_crawling\01우6694-d78e7a59-9245-11ed-8fb6-ac74b1bf3c26_26.jpg: 480x640 1 headlight, Done. (0.143s)
image 25/4478 C:\Users\gbuln\Downloads\0112_crawling\02나4287-16f384c0-9242-11ed-b009-ac74b1bf3c26_26.jpg: 480x640 1 headlight, Done. (0.161s)
image 26/4478 C:\Users\gbuln\Downloads\0112_crawling\02나4287-b032ec00-9241-11ed-ae21-ac74b1bf3c26_26.jpg: 480x640 1 headlight, Done. (0.161s)
